NAME	ID	TYPE
CHRNA3	1136	gene
CHRM1	1128	gene
CHRM2	1129	gene
hsa-mir-490		intragenicMirna
CHRM4	1132	gene
ACHE	43	gene
SLC18A3	6572	gene
ADCY1	107	gene
PRKACA	5566	gene
GNA11	2767	gene
PLCB1	23236	gene
ITPR1	3708	gene
PRKCA	5578	gene
hsa-mir-634		intragenicMirna
CHAT	1103	gene
SLC5A7	60482	gene
CACNA1A	773	gene
GNB5	10681	gene
CHRM5	1133	gene
CHRM3	1131	gene
KCNJ2	3759	gene
MAPK1	5594	gene
CREB3	10488	gene
hsa-mir-6853		intragenicMirna
CAMK4	814	gene
PIK3R5	23533	gene
AKT3	10000	gene
BCL2	596	gene
CACNA1C	775	gene
CHRNA7	1139	gene
HRAS	3265	gene
MAP2K1	5604	gene
FOS	2353	gene
JAK2	3717	gene
FYN	2534	gene
KCNJ3	3760	gene
AR	367	tf
YBX1	4904	tf
FOXP3	50943	tf
CREB1	1385	tf
ETS1	2113	tf
hsa-mir-6090		intragenicMirna
GATA2	2624	tf
E2F4	1874	tf
PRDM14	63978	tf
HNF1A	6927	tf
AHR	196	tf
ELK3	2004	tf
ESR1	2099	tf
GATA1	2623	tf
GATA3	2625	tf
FOXA1	3169	tf
MYOD1	4654	tf
SRR	63826	tf
SP1	6667	tf
SRF	6722	tf
STAT1	6772	tf
E2F1	1869	tf
TP53	7157	tf
EGR1	1958	tf
MYC	4609	tf
hsa-mir-1204		intergenicMirna
TFAP2A	7020	tf
TFAP2C	7022	tf
NR1I2	8856	tf
ATF1	466	tf
PGR	5241	tf
PPARG	5468	tf
REST	5978	tf
SOX2	6657	tf
NANOG	79923	tf
