NAME	ID	TYPE
GRM6	2916	gene
GRIK1	2897	gene
GRIA1	2890	gene
GRIN3A	116443	gene
GRM1	2911	gene
GRM2	2912	gene
GRM4	2914	gene
hsa-mir-1275		intergenicMirna
SLC1A1	6505	gene
CACNA1C	775	gene
SLC1A2	6506	gene
GRM5	2915	gene
ADCY1	107	gene
SLC38A3	10991	gene
hsa-mir-5787		intergenicMirna
SLC38A2	54407	gene
SLC17A8	246213	gene
GNAS	2778	gene
PRKACA	5566	gene
GNAQ	2776	gene
PLCB1	23236	gene
ITPR1	3708	gene
PRKCA	5578	gene
hsa-mir-634		intragenicMirna
TRPC1	7220	gene
GNB5	10681	gene
PPP3CA	5530	gene
hsa-mir-1255a		intragenicMirna
hsa-mir-8066		intragenicMirna
GLS2	27165	gene
GLUL	2752	gene
ADRBK1	156	gene
CACNA1A	773	gene
GNAI1	2770	gene
KCNJ3	3760	gene
GRM7	2917	gene
GRM3	2913	gene
PLA2G4B	100137049	gene
PLD1...	5337	gene
MAPK1	5594	gene
HOMER3	9454	gene
DLG4	1742	gene
DLGAP1	9229	gene
hsa-mir-6718		intragenicMirna
SHANK2	22941	gene
hsa-mir-3664		intragenicMirna
YBX1	4904	tf
ETS1	2113	tf
hsa-mir-6090		intragenicMirna
GATA2	2624	tf
AR	367	tf
E2F4	1874	tf
HIF1A	3091	tf
PRDM14	63978	tf
GATA1	2623	tf
REST	5978	tf
SOX2	6657	tf
FOXP3	50943	tf
TFAP2C	7022	tf
HNF1A	6927	tf
TP73	7161	tf
E2F6	1876	tf
ESR1	2099	tf
NR1I2	8856	tf
GATA3	2625	tf
FOXA1	3169	tf
DDIT3	1649	tf
hsa-mir-616		intragenicMirna
E2F1	1869	tf
CREB1	1385	tf
TAL1	6886	tf
NANOG	79923	tf
MYCN	4613	tf
