NAME	ID	TYPE
HTR4	3360	gene
HTR2A	3356	gene
SLC18A1	6570	gene
GNAS	2778	gene
ADCY5	111	gene
PRKACA	5566	gene
GNAQ	2776	gene
PLCB1	23236	gene
ITPR1	3708	gene
PRKCA	5578	gene
hsa-mir-634		intragenicMirna
DDC	1644	gene
SLC6A4	6532	gene
CACNA1A	773	gene
HTR1A	3350	gene
GNB5	10681	gene
RAPGEF3	10411	gene
TPH2	121278	gene
HTR5A	3361	gene
MAOA	4128	gene
HTR1B	3351	gene
PLA2G4B	100137049	gene
CACNA1C	775	gene
HTR3C...	170572	gene
TRPC1	7220	gene
CYP2C19	1557	gene
ALOX12	239	gene
PTGS1	5742	gene
CASP3	836	gene
MAPK1	5594	gene
DUSP1	1843	gene
KCNJ3	3760	gene
HRAS	3265	gene
ARAF	369	gene
MAP2K1	5604	gene
APP	351	gene
KCND2	3751	gene
GABRB1...	2560	gene
YBX1	4904	tf
GATA2	2624	tf
GATA3	2625	tf
ETS1	2113	tf
hsa-mir-6090		intragenicMirna
AR	367	tf
REST	5978	tf
PRDM14	63978	tf
TFAP2C	7022	tf
ESR1	2099	tf
NR1I2	8856	tf
NR1I3	9970	tf
GATA1	2623	tf
FOXA1	3169	tf
FOXA2	3170	tf
CEBPB	1051	tf
CREB1	1385	tf
NR3C1	2908	tf
TP53	7157	tf
E2F4	1874	tf
FOXP3	50943	tf
HNF1A	6927	tf
HIF1A	3091	tf
TP73	7161	tf
E2F1	1869	tf
CTCF	10664	tf
JUN	3725	tf
MYC	4609	tf
hsa-mir-1204		intergenicMirna
SP1	6667	tf
TBP	6908	tf
TFAP2A	7020	tf
HNF4A	3172	tf
hsa-mir-3646		intragenicMirna
SOX2	6657	tf
NANOG	79923	tf
